,user_id,item_id,rating
0,u1,i1,0.3
1,u1,i2,0.9
2,u1,i3,1.0
3,u1,i4,0.0
4,u1,i5,0.0
5,u1,i6,0.0
6,u1,i7,0.85
7,u1,i8,0.0
8,u1,i9,0.9
9,u1,i10,0.0
10,u1,i11,1.0
11,u1,i12,1.0
12,u1,i13,0.3
13,u1,i14,0.3
14,u1,i15,0.0
15,u1,i16,0.5
16,u1,i17,0.0
17,u1,i18,0.0
18,u1,i19,0.9
19,u1,i20,0.0
20,u1,i21,0.0
21,u1,i22,0.0
22,u1,i23,1.0
23,u1,i24,1.0
24,u1,i25,0.25
25,u1,i26,0.0
26,u1,i27,0.9
27,u1,i28,0.1
28,u1,i29,0.5
29,u1,i30,0.0
30,u1,i31,0.0
31,u1,i32,0.5
32,u1,i33,0.0
33,u1,i34,0.1
34,u1,i35,0.0
35,u1,i36,0.0
36,u1,i37,0.0
37,u1,i38,0.0
38,u1,i39,0.1
39,u1,i40,0.0
40,u1,i41,1.0
41,u1,i42,0.5
42,u1,i43,0.5
43,u1,i44,0.0
44,u1,i45,1.0
45,u1,i46,0.0
46,u1,i47,0.85
47,u1,i48,0.0
48,u1,i49,0.1
49,u1,i50,0.0
50,u1,i51,0.0
51,u1,i52,0.0
52,u1,i53,0.0
53,u1,i54,0.1
54,u1,i55,0.0
55,u1,i56,0.0
56,u1,i57,0.0
57,u1,i58,0.0
58,u1,i59,0.0
59,u1,i60,0.9
60,u1,i61,0.0
61,u1,i62,0.0
62,u1,i63,0.0
63,u1,i64,0.0
64,u1,i65,0.85
65,u1,i66,0.35
66,u1,i67,0.0
67,u1,i68,0.0
68,u1,i69,0.0
69,u1,i70,0.0
70,u1,i71,0.0
71,u1,i72,0.0
72,u1,i73,0.0
73,u1,i74,0.5
74,u1,i75,0.0
75,u1,i76,0.0
76,u1,i77,0.1
77,u1,i78,0.0
78,u1,i79,0.1
79,u1,i80,0.0
80,u1,i81,0.0
81,u1,i82,1.0
82,u1,i83,0.0
83,u1,i84,0.0
84,u1,i85,0.0
85,u1,i86,0.0
86,u1,i87,0.0
87,u1,i88,0.25
88,u1,i89,0.0
89,u1,i90,0.0
90,u1,i91,0.85
91,u1,i92,0.0
92,u1,i93,0.0
93,u1,i94,0.0
94,u1,i95,0.0
95,u1,i96,0.5
96,u1,i97,0.0
97,u1,i98,0.0
98,u1,i99,0.0
99,u1,i100,0.25
100,u2,i1,0.5
101,u2,i2,0.5
102,u2,i3,0.0
103,u2,i4,0.25
104,u2,i5,0.1
105,u2,i6,0.75
106,u2,i7,0.1
107,u2,i8,0.0
108,u2,i9,0.0
109,u2,i10,0.75
110,u2,i11,0.0
111,u2,i12,0.35
112,u2,i13,0.0
113,u2,i14,0.0
114,u2,i15,0.0
115,u2,i16,0.0
116,u2,i17,0.85
117,u2,i18,0.75
118,u2,i19,0.25
119,u2,i20,0.0
120,u2,i21,0.5
121,u2,i22,0.0
122,u2,i23,0.9
123,u2,i24,0.9
124,u2,i25,0.1
125,u2,i26,0.9
126,u2,i27,0.35
127,u2,i28,1.0
128,u2,i29,0.0
129,u2,i30,0.0
130,u2,i31,0.0
131,u2,i32,0.0
132,u2,i33,0.85
133,u2,i34,0.0
134,u2,i35,0.0
135,u2,i36,0.3
136,u2,i37,0.5
137,u2,i38,0.0
138,u2,i39,0.85
139,u2,i40,0.0
140,u2,i41,0.5
141,u2,i42,0.9
142,u2,i43,0.0
143,u2,i44,0.25
144,u2,i45,0.0
145,u2,i46,0.0
146,u2,i47,0.0
147,u2,i48,0.0
148,u2,i49,0.0
149,u2,i50,0.35
150,u2,i51,0.85
151,u2,i52,0.0
152,u2,i53,0.1
153,u2,i54,0.0
154,u2,i55,0.0
155,u2,i56,0.0
156,u2,i57,0.3
157,u2,i58,0.0
158,u2,i59,0.75
159,u2,i60,0.0
160,u2,i61,0.0
161,u2,i62,0.0
162,u2,i63,0.85
163,u2,i64,0.0
164,u2,i65,0.0
165,u2,i66,0.5
166,u2,i67,0.0
167,u2,i68,0.0
168,u2,i69,0.9
169,u2,i70,0.0
170,u2,i71,0.35
171,u2,i72,0.0
172,u2,i73,0.0
173,u2,i74,0.85
174,u2,i75,0.35
175,u2,i76,1.0
176,u2,i77,0.1
177,u2,i78,0.0
178,u2,i79,0.0
179,u2,i80,1.0
180,u2,i81,0.0
181,u2,i82,0.0
182,u2,i83,0.0
183,u2,i84,0.3
184,u2,i85,0.5
185,u2,i86,0.5
186,u2,i87,0.9
187,u2,i88,0.0
188,u2,i89,0.85
189,u2,i90,0.9
190,u2,i91,0.0
191,u2,i92,1.0
192,u2,i93,1.0
193,u2,i94,0.35
194,u2,i95,0.25
195,u2,i96,0.35
196,u2,i97,0.0
197,u2,i98,0.0
198,u2,i99,0.0
199,u2,i100,0.5
200,u3,i1,0.75
201,u3,i2,0.0
202,u3,i3,0.0
203,u3,i4,0.0
204,u3,i5,0.0
205,u3,i6,0.0
206,u3,i7,0.0
207,u3,i8,0.0
208,u3,i9,0.0
209,u3,i10,0.9
210,u3,i11,0.0
211,u3,i12,0.25
212,u3,i13,0.0
213,u3,i14,0.0
214,u3,i15,0.5
215,u3,i16,0.25
216,u3,i17,0.1
217,u3,i18,0.1
218,u3,i19,0.0
219,u3,i20,0.0
220,u3,i21,0.0
221,u3,i22,0.0
222,u3,i23,0.0
223,u3,i24,0.85
224,u3,i25,0.9
225,u3,i26,0.5
226,u3,i27,0.0
227,u3,i28,0.0
228,u3,i29,0.0
229,u3,i30,1.0
230,u3,i31,0.5
231,u3,i32,0.35
232,u3,i33,0.85
233,u3,i34,0.0
234,u3,i35,0.5
235,u3,i36,0.0
236,u3,i37,0.0
237,u3,i38,0.0
238,u3,i39,0.75
